num;NAME;Gl;Gb;RAJD;DECJD;P0;DM;S1400;R_LUM14;
num;;(deg);(deg);(deg);(deg);(s);(cm^-3pc);(mJy);(mJykpc^2);
1030;J1624+8643;119.925;29.057;246.136350;86.720335;0.395763;46.43;*;*;
1031;J1625-4048;340.609;5.932;246.293042;-40.805972;2.355278;145.00;*;*;
1032;J1625-4904;334.690;0.145;246.325208;-49.076000;0.460339;684.80;0.20;5.51e+00;
1033;J1625-4913;334.578;0.041;246.318375;-49.229056;0.355856;720.00;0.20;5.62e+00;
1034;J1626-44;338.274;3.216;246.750000;-44.366667;0.308354;269.20;0.30;2.07e+01;
1035;J1626-4537;337.346;2.367;246.704083;-45.623778;0.370141;237.00;1.20;2.98e+01;
1036;J1626-4807;335.530;0.636;246.677083;-48.131667;0.293928;817.00;0.37;2.05e+01;
1037;J1626-6621;322.214;-11.901;246.528546;-66.354242;0.450868;84.11;0.20;2.92e+00;
1038;J1627+1419;30.030;38.319;246.828163;14.322417;0.490857;32.17;*;*;
1039;J1627-4706;336.352;1.250;246.869792;-47.113944;0.140746;456.10;0.18;7.40e+00;
1040;J1627-4845;335.137;0.150;246.793083;-48.752222;0.612331;557.80;0.48;1.14e+01;
1041;J1627-49;334.370;-0.709;246.925000;-49.900000;0.623678;594.00;0.13;3.99e+00;
1042;J1627-51;333.459;-1.541;246.875000;-51.133333;0.439684;201.00;0.08;1.12e+00;
1043;J1627-5547;330.074;-4.756;246.837833;-55.797889;0.352464;166.20;0.65;1.66e+01;
1044;J1627-5936;327.341;-7.438;246.969125;-59.615361;0.354234;99.30;1.60;1.84e+01;
1045;J1628-3205;347.428;11.482;247.029167;-32.096917;0.003210;42.10;*;*;
1046;J1628+4406;69.239;43.616;247.209633;44.111837;0.181178;7.33;*;*;
1047;J1628-4804;335.766;0.461;247.111792;-48.083056;0.865971;952.00;1.20;5.70e+01;
1048;J1629-3636;344.280;8.198;247.399208;-36.603611;2.988193;101.00;0.20;3.58e+00;
1049;J1629-3825;342.889;7.006;247.310908;-38.424806;0.526365;127.00;0.38;1.15e+01;
1050;J1629-6902;320.371;-13.926;247.286544;-69.045915;0.006001;29.49;*;*;
